# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_88	LOCUS_00870	sequence01:94506..95177(+)	partial			WP_014206892.1	aldehyde dehydrogenase (NADP(+))	84.8	36.1	96.8
MGA_135	LOCUS_01340	sequence01:147753..150677(-)	partial			WP_014207731.1	hypothetical protein	25.4	32.8	36.4
MGA_145	LOCUS_01440	sequence01:161927..163813(-)	partial			WP_005478346.1	Mu transposase C-terminal domain-containing protein	71.0	75.6	24.1
MGA_153	LOCUS_01520	sequence01:174888..175199(-)	partial			WP_014206681.1	chromate efflux transporter	93.2	21.3	64.6
MGA_283	LOCUS_02810	sequence02:17982..19637(+)	partial			WP_013530108.1	hypothetical protein	42.8	42.3	26.6
MGA_292	LOCUS_02900	sequence02:28807..29388(+)	partial			WP_005804461.1	single-stranded DNA-binding protein	68.4	67.7	99.2
MGA_314	LOCUS_03120	sequence02:52543..53058(+)	partial			WP_014206804.1	tetratricopeptide repeat protein	90.6	57.3	32.9
MGA_315	LOCUS_03130	sequence02:53201..53506(+)	frameshift		53205	WP_014208080.1	hypothetical protein	97.0	83.8	55.1
MGA_317	LOCUS_03150	sequence02:54572..54727(-)	internal_stop_codon	54572..54574(-)		WP_014207879.1	DUF6500 family protein	92.2	65.3	95.7
MGA_320	LOCUS_03180	sequence02:55927..56598(+)	internal_stop_codon	56596..56598(+)		WP_014207876.1	hypothetical protein	100.0	70.1	96.4
MGA_392	LOCUS_03900	sequence02:137022..137192(+)	internal_stop_codon	137190..137192(+)		WP_020333947.1	pilin	91.1	33.6	64.7
MGA_498	LOCUS_04960	sequence02:243488..244240(+)	frameshift		244204	WP_014207746.1	30S ribosomal protein S3	90.0	84.9	99.1
MGA_554	LOCUS_05520	sequence03:<1..5879(+)	partial			WP_014207470.1	Ig-like domain-containing protein	69.6	58.1	42.8
MGA_615	LOCUS_06130	sequence03:86472..86621(+)	partial			WP_002118887.1	lipoprotein	100.0	65.8	65.3
MGA_623	LOCUS_06210	sequence03:95772..97418(-)	partial			WP_010927086.1	glycosyltransferase family 39 protein	65.9	67.9	37.6
MGA_655	LOCUS_06530	sequence03:130758..132104(-)	partial			WP_014207391.1	cell envelope integrity protein TolA	45.8	51.7	47.8
MGA_694	LOCUS_06920	sequence03:169721..169921(+)	partial			WP_002118955.1	NF038104 family lipoprotein	59.1	75.0	84.6
MGA_779	LOCUS_07760	sequence04:7101..7451(-)	internal_stop_codon	7497..7499(-)		WP_014206556.1	hypothetical protein	100.0	60.4	88.8
MGA_851	LOCUS_08480	sequence04:83579..84004(+)	internal_stop_codon	84002..84004(+)		WP_014206505.1	hypothetical protein	100.0	35.8	87.2
MGA_852	LOCUS_08490	sequence04:84026..84763(+)	internal_stop_codon	84002..84004(+)		WP_014206505.1	hypothetical protein	100.0	62.2	97.6
MGA_900	LOCUS_08970	sequence04:133866..135038(-)	partial			WP_014206463.1	KGG domain-containing protein	16.9	80.5	95.5
