locus_tag	ftype	length_bp	gene	EC_number	COG	product
CFCHDMIM_00001	CDS	6132				hypothetical protein
CFCHDMIM_00002	CDS	1656				hypothetical protein
CFCHDMIM_00003	CDS	1725				hypothetical protein
CFCHDMIM_00004	CDS	717				hypothetical protein
CFCHDMIM_00005	CDS	330				DNA base-flipping protein
CFCHDMIM_00006	CDS	438	teaD		COG0589	TRAP-T-associated universal stress protein TeaD
CFCHDMIM_00007	CDS	633	cat	2.3.1.28	COG0110	Chloramphenicol acetyltransferase
CFCHDMIM_00008	CDS	477	greA		COG0782	Transcription elongation factor GreA
CFCHDMIM_00009	CDS	3231	carB_1	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
CFCHDMIM_00010	CDS	1140	carA_1	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
CFCHDMIM_00011	CDS	588				hypothetical protein
CFCHDMIM_00012	CDS	537				hypothetical protein
CFCHDMIM_00013	CDS	324			COG1534	RNA-binding protein
CFCHDMIM_00014	CDS	651	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
CFCHDMIM_00015	CDS	1896	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
CFCHDMIM_00016	CDS	852	folP	2.5.1.15	COG0294	Dihydropteroate synthase
CFCHDMIM_00017	CDS	315				hypothetical protein
CFCHDMIM_00018	CDS	366				hypothetical protein
CFCHDMIM_00019	tRNA	86				tRNA-Leu(taa)
CFCHDMIM_00020	CDS	1764				hypothetical protein
CFCHDMIM_00021	tRNA	86				tRNA-Leu(taa)
CFCHDMIM_00022	tRNA	74				tRNA-Cys(gca)
CFCHDMIM_00023	CDS	849	folD			Bifunctional protein FolD protein
CFCHDMIM_00024	CDS	669	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
CFCHDMIM_00025	CDS	423				hypothetical protein
CFCHDMIM_00026	CDS	1320	kgtP_1			Alpha-ketoglutarate permease
CFCHDMIM_00027	CDS	1509	glpK	2.7.1.30	COG0554	Glycerol kinase
CFCHDMIM_00028	CDS	1518	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
CFCHDMIM_00029	CDS	1833	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
CFCHDMIM_00030	CDS	939	yegS	2.7.1.-		lipid kinase YegS
CFCHDMIM_00031	CDS	759	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
CFCHDMIM_00032	CDS	8868				hypothetical protein
CFCHDMIM_00033	CDS	291	groS		COG0234	10 kDa chaperonin
CFCHDMIM_00034	CDS	1635	groL		COG0459	60 kDa chaperonin
CFCHDMIM_00035	CDS	375	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
CFCHDMIM_00036	CDS	930	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
CFCHDMIM_00037	CDS	1143	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
CFCHDMIM_00038	CDS	3096	mexB_1		COG0841	Multidrug resistance protein MexB
CFCHDMIM_00039	CDS	576				hypothetical protein
CFCHDMIM_00040	CDS	906	htpX_1	3.4.24.-	COG0501	Protease HtpX
CFCHDMIM_00041	CDS	864	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
CFCHDMIM_00042	CDS	906	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
CFCHDMIM_00043	CDS	384				hypothetical protein
CFCHDMIM_00044	CDS	1113	mltF_2	4.2.2.-		Membrane-bound lytic murein transglycosylase F
CFCHDMIM_00045	CDS	495	greB		COG0782	Transcription elongation factor GreB
CFCHDMIM_00046	tRNA	90				tRNA-Ser(tga)
CFCHDMIM_00047	CDS	555				hypothetical protein
CFCHDMIM_00048	CDS	3999	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
CFCHDMIM_00049	CDS	1086				hypothetical protein
CFCHDMIM_00050	CDS	579				hypothetical protein
CFCHDMIM_00051	CDS	864				hypothetical protein
CFCHDMIM_00052	CDS	618				hypothetical protein
